RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,运行条件_精度仿真,运行条件_SAF,运行条件_器件变异,运行条件_Rratio,运行条件_固定量化范围,运行条件_精度约束,标签_延迟_ns,标签_能耗_nJ,标签_面积_um2,标签_功耗_W,标签_精度,元信息_运行ID,元信息_试验目录,元信息_算法,元信息_随机种子,元信息_评估序号,元信息_阶段,元信息_单次耗时_s,元信息_是否帕累托点,版本_网络,版本_数据集模块,版本_权重路径,版本_SimConfig路径,版本_设备,版本_签名
P2,512x512,6,64,1,1,2,2x2,1,40,1,1,1,0,0,0.88,5370465.03940621,3943527.8007849925,806405342.0955797,71.3122734378755,0.099609375,run_20260409_160500,random_seed42,random,42,1,random,72.06467509269714,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P0,128x128,6,128,1,1,4,4x4,2,40,1,1,1,0,0,0.88,14379162.483616222,8819197.425288975,3191013177.435408,1216.8754617024988,0.099609375,run_20260409_160500,random_seed42,random,42,2,random,186.92755722999573,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P0,512x512,7,128,1,1,4,8x8,0,80,1,1,1,0,0,0.88,10481166.528073765,1574917.2081730494,3535253138.9269333,47.273997348147226,0.099609375,run_20260409_160500,random_seed42,random,42,3,random,61.86164093017578,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P1,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.939453125,run_20260409_160500,random_seed42,random,42,4,random,54.215092182159424,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P3,256x256,8,64,2,1,4,4x4,2,10,1,1,1,0,0,0.88,8448704.031956494,660743.0108614445,1454303896.7855663,4.733286649333018,0.111328125,run_20260409_160500,random_seed42,random,42,5,random,88.20000696182251,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P4,512x512,7,128,1,1,4,8x8,2,20,1,1,1,0,0,0.88,10533049.72807377,1566016.2360366941,3535253138.9269333,46.38206751566722,0.111328125,run_20260409_160500,random_seed42,random,42,6,random,58.450814962387085,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P2,512x512,4,32,1,0,2,4x4,1,80,1,1,1,0,0,0.88,16262945.769408964,9245404.061644342,870600717.7711326,81.28617585375183,0.099609375,run_20260409_160500,random_seed42,random,42,7,random,59.65636396408081,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P4,512x512,7,64,2,0,1,8x8,3,10,1,1,1,0,0,0.88,28154409.458937343,6674812.957325197,2062231154.1340282,44.2651282237103,0.109375,run_20260409_160500,random_seed42,random,42,8,random,56.76649498939514,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P1,128x128,4,128,2,0,1,4x4,3,40,1,1,1,0,0,0.88,15659093.533616526,10534362.375328988,2354953730.7135515,856.6961364296048,0.919921875,run_20260409_160500,random_seed42,random,42,9,random,168.08029890060425,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
P3,128x128,6,128,1,1,2,8x8,0,10,1,1,1,0,0,0.88,48107582.663695194,22244869.760856073,2941409837.4369035,1055.1796055176794,0.111328125,run_20260409_160500,random_seed42,random,42,10,random,182.6938169002533,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,9acc1b176e2b
